"Nommunicipio","Nommodalidad","Variable","value"
"Hopelchén","Temporal","Area",25044.5
"Hopelchén","Temporal","Rendimiento",2.08
"Sacramento","Riego","Area",27.5
"Sacramento","Riego","Rendimiento",3.1
"Teopisca","Riego","Area",501
"Teopisca","Riego","Rendimiento",3.25
"Teopisca","Temporal","Area",3329
"Teopisca","Temporal","Rendimiento",1.5
"Pantelhó","Temporal","Area",2432
"Pantelhó","Temporal","Rendimiento",1.27
"Reforma","Temporal","Area",1755
"Reforma","Temporal","Rendimiento",1.37
"Pantepec","Temporal","Area",955
"Pantepec","Temporal","Rendimiento",1.08
"Amatenango de La Frontera","Temporal","Area",3940
"Amatenango de La Frontera","Temporal","Rendimiento",1.77
"Hidalgo del Parral","Temporal","Area",109.8
"Hidalgo del Parral","Temporal","Rendimiento",1.64
"San Dimas","Temporal","Area",5000
"San Dimas","Temporal","Rendimiento",0.8
"San Bernardo","Riego","Area",300
"San Bernardo","Riego","Rendimiento",3
"San Bernardo","Temporal","Area",5675
"San Bernardo","Temporal","Rendimiento",0.8
"Lerdo","Temporal","Area",140
"Lerdo","Temporal","Rendimiento",1.4
"San Francisco del Rincón","Riego","Area",3284
"San Francisco del Rincón","Riego","Rendimiento",8
"San Francisco del Rincón","Temporal","Area",7300
"San Francisco del Rincón","Temporal","Rendimiento",0.9
"Tarimoro","Riego","Area",2105
"Tarimoro","Riego","Rendimiento",7.5
"Tarimoro","Temporal","Area",2518
"Tarimoro","Temporal","Rendimiento",1.95
"Ayutla de Los Libres","Temporal","Area",8118
"Ayutla de Los Libres","Temporal","Rendimiento",2.89
"Mochitlán","Temporal","Area",2390
"Mochitlán","Temporal","Rendimiento",3.4
"Tlapa de Comonfort","Riego","Area",200
"Tlapa de Comonfort","Riego","Rendimiento",2.7
"Tlapa de Comonfort","Temporal","Area",4500
"Tlapa de Comonfort","Temporal","Rendimiento",1
"Cualác","Temporal","Area",2100
"Cualác","Temporal","Rendimiento",2.4
"Tlahuiltepa","Riego","Area",168
"Tlahuiltepa","Riego","Rendimiento",4.5
"Tlahuiltepa","Temporal","Area",1570
"Tlahuiltepa","Temporal","Rendimiento",1.2
"Mixquiahuala de Juárez","Riego","Area",4573
"Mixquiahuala de Juárez","Riego","Rendimiento",11
"Mixquiahuala de Juárez","Temporal","Area",198
"Mixquiahuala de Juárez","Temporal","Rendimiento",0.9
"San Cristóbal de La Barranca","Temporal","Area",1445
"San Cristóbal de La Barranca","Temporal","Rendimiento",4.9
"Villa Hidalgo","Riego","Area",472.9
"Villa Hidalgo","Riego","Rendimiento",4.12
"Villa Hidalgo","Temporal","Area",843.4
"Villa Hidalgo","Temporal","Rendimiento",2
"Teuchitlán","Temporal","Area",1450
"Teuchitlán","Temporal","Rendimiento",6.47
"Teocuitatlán de Corona","Riego","Area",2270
"Teocuitatlán de Corona","Riego","Rendimiento",5.47
"Teocuitatlán de Corona","Temporal","Area",3860
"Teocuitatlán de Corona","Temporal","Rendimiento",4.3
"Zapotiltic","Temporal","Area",6340
"Zapotiltic","Temporal","Rendimiento",6.38
"Villa Guerrero","Temporal","Area",480
"Villa Guerrero","Temporal","Rendimiento",4.54
"Atlacomulco","Riego","Area",2532
"Atlacomulco","Riego","Rendimiento",4.1
"Atlacomulco","Temporal","Area",9700
"Atlacomulco","Temporal","Rendimiento",2.6
"Acambay de Ruíz Castañeda","Riego","Area",3412
"Acambay de Ruíz Castañeda","Riego","Rendimiento",5.79
"Acambay de Ruíz Castañeda","Temporal","Area",14404.4
"Acambay de Ruíz Castañeda","Temporal","Rendimiento",2.1
"Charapan","Temporal","Area",3300
"Charapan","Temporal","Rendimiento",2.2
"Purépero","Temporal","Area",2290
"Purépero","Temporal","Rendimiento",2.95
"Tocumbo","Temporal","Area",1290
"Tocumbo","Temporal","Rendimiento",3
"Pátzcuaro","Temporal","Area",2000
"Pátzcuaro","Temporal","Rendimiento",1.96
"Indaparapeo","Riego","Area",4433
"Indaparapeo","Riego","Rendimiento",10
"Indaparapeo","Temporal","Area",1087
"Indaparapeo","Temporal","Rendimiento",4.1
"Tarímbaro","Riego","Area",4314
"Tarímbaro","Riego","Rendimiento",10
"Tarímbaro","Temporal","Area",2168
"Tarímbaro","Temporal","Rendimiento",4.8
"Temixco","Riego","Area",28
"Temixco","Riego","Rendimiento",4.18
"Temixco","Temporal","Area",480
"Temixco","Temporal","Rendimiento",3.3
"Tepoztlán","Riego","Area",16
"Tepoztlán","Riego","Rendimiento",5.1
"Tepoztlán","Temporal","Area",2250
"Tepoztlán","Temporal","Rendimiento",3.18
"Yecapixtla","Temporal","Area",3328
"Yecapixtla","Temporal","Rendimiento",3
"Asunción Cuyotepeji","Riego","Area",41.5
"Asunción Cuyotepeji","Riego","Rendimiento",1.56
"Asunción Cuyotepeji","Temporal","Area",69.5
"Asunción Cuyotepeji","Temporal","Rendimiento",0.41
"San Nicolás Hidalgo","Riego","Area",3.5
"San Nicolás Hidalgo","Riego","Rendimiento",0.57
"San Nicolás Hidalgo","Temporal","Area",167.5
"San Nicolás Hidalgo","Temporal","Rendimiento",0.91
"H. V. Tezoatlán de Segura y Luna, C. de la I.de O.","Riego","Area",422.5
"H. V. Tezoatlán de Segura y Luna, C. de la I.de O.","Riego","Rendimiento",0.46
"H. V. Tezoatlán de Segura y Luna, C. de la I.de O.","Temporal","Area",7406
"H. V. Tezoatlán de Segura y Luna, C. de la I.de O.","Temporal","Rendimiento",0.77
"Zapotitlán Palmas","Temporal","Area",391
"Zapotitlán Palmas","Temporal","Rendimiento",1.29
"San Francisco Teopan","Temporal","Area",285
"San Francisco Teopan","Temporal","Rendimiento",0.54
"Teotongo","Temporal","Area",319
"Teotongo","Temporal","Rendimiento",0.82
"Magdalena Zahuatlán","Riego","Area",11.02
"Magdalena Zahuatlán","Riego","Rendimiento",1.63
"Magdalena Zahuatlán","Temporal","Area",309
"Magdalena Zahuatlán","Temporal","Rendimiento",0.97
"San Mateo Sindihui","Riego","Area",50.8
"San Mateo Sindihui","Riego","Rendimiento",1.97
"San Mateo Sindihui","Temporal","Area",920
"San Mateo Sindihui","Temporal","Rendimiento",1.2
"San Juan Teita","Riego","Area",26.5
"San Juan Teita","Riego","Rendimiento",2.51
"San Juan Teita","Temporal","Area",189
"San Juan Teita","Temporal","Rendimiento",0.71
"San Miguel Achiutla","Riego","Area",22.5
"San Miguel Achiutla","Riego","Rendimiento",1.94
"San Miguel Achiutla","Temporal","Area",388
"San Miguel Achiutla","Temporal","Rendimiento",0.79
"Magdalena Mixtepec","Riego","Area",12
"Magdalena Mixtepec","Riego","Rendimiento",2.89
"Magdalena Mixtepec","Temporal","Area",500
"Magdalena Mixtepec","Temporal","Rendimiento",0.99
"San Agustín Amatengo","Riego","Area",115
"San Agustín Amatengo","Riego","Rendimiento",2.68
"San Agustín Amatengo","Temporal","Area",536
"San Agustín Amatengo","Temporal","Rendimiento",0.97
"San Francisco Cahuacuá","Riego","Area",15
"San Francisco Cahuacuá","Riego","Rendimiento",2.45
"San Francisco Cahuacuá","Temporal","Area",1471
"San Francisco Cahuacuá","Temporal","Rendimiento",0.99
"San Francisco Sola","Temporal","Area",317
"San Francisco Sola","Temporal","Rendimiento",0.92
"Santiago Ixtayutla","Temporal","Area",2472
"Santiago Ixtayutla","Temporal","Rendimiento",0.53
"Santa María Colotepec","Temporal","Area",2500
"Santa María Colotepec","Temporal","Rendimiento",1.78
"Santa Catarina Juquila","Temporal","Area",2783
"Santa Catarina Juquila","Temporal","Rendimiento",1.12
"San Miguel Chimalapa","Temporal","Area",1525
"San Miguel Chimalapa","Temporal","Rendimiento",1.1
"Nejapa de Madero","Temporal","Area",2198
"Nejapa de Madero","Temporal","Rendimiento",0.97
"San Carlos Yautepec","Temporal","Area",4198
"San Carlos Yautepec","Temporal","Rendimiento",0.81
"Teococuilco de Marcos Pérez","Temporal","Area",205.5
"Teococuilco de Marcos Pérez","Temporal","Rendimiento",1.2
"San Melchor Betaza","Temporal","Area",148
"San Melchor Betaza","Temporal","Rendimiento",1.39
"Santo Domingo Roayaga","Temporal","Area",151
"Santo Domingo Roayaga","Temporal","Rendimiento",1.22
"San Francisco Chapulapa","Temporal","Area",495
"San Francisco Chapulapa","Temporal","Rendimiento",1.07
"San Juan Bautista Cuicatlán","Riego","Area",61
"San Juan Bautista Cuicatlán","Riego","Rendimiento",3.65
"San Juan Bautista Cuicatlán","Temporal","Area",889
"San Juan Bautista Cuicatlán","Temporal","Rendimiento",0.99
"San Pedro Teutila","Temporal","Area",804
"San Pedro Teutila","Temporal","Rendimiento",1.14
"Santa María La Asunción","Temporal","Area",433
"Santa María La Asunción","Temporal","Rendimiento",0.98
"San Juan Bautista Tuxtepec","Temporal","Area",2760
"San Juan Bautista Tuxtepec","Temporal","Rendimiento",1.97
"San Felipe Usila","Temporal","Area",2835
"San Felipe Usila","Temporal","Rendimiento",1.25
"Santiago Choápam","Temporal","Area",1210
"Santiago Choápam","Temporal","Rendimiento",1.5
"Zihuateutla","Temporal","Area",1113.7
"Zihuateutla","Temporal","Rendimiento",1.5
"Lafragua","Riego","Area",21
"Lafragua","Riego","Rendimiento",2.9
"Lafragua","Temporal","Area",2850
"Lafragua","Temporal","Rendimiento",3
"Esperanza","Riego","Area",25
"Esperanza","Riego","Rendimiento",4
"Esperanza","Temporal","Area",3590
"Esperanza","Temporal","Rendimiento",3.5
"Calpan","Riego","Area",80
"Calpan","Riego","Rendimiento",4
"Calpan","Temporal","Area",2172
"Calpan","Temporal","Rendimiento",2
"Tlahuapan","Riego","Area",600
"Tlahuapan","Riego","Rendimiento",4
