"Planting_Date","Harvest_Date","Cultivar","Former_Crop","Sowing_Method","Soil_ID","Yield"
"10/1/2013","2/3/2014","PIONEER 30F32","Algodon","Mecanizado",1,5
"8/25/2013","1/15/2014","DK 234","Maiz","Mecanizado",2,5
"5/13/2013","9/26/2013","PIONEER 30F32","Algodon","Mecanizado",3,5.5
"5/2/2013","9/11/2013","Otro","Algodon","Mecanizado",1,5.2
"5/12/2013","9/19/2013","Otro","Algodon","Mecanizado",4,5.7
"5/7/2013","9/12/2013","DK 234","Maiz","Mecanizado",1,5.2
"5/7/2013","9/12/2013","Otro","Maiz","Manual",5,4.7
"5/8/2013","9/18/2013","PIONEER 30F32","Algodon","Manual",4,6
"5/2/2013","9/17/2013","DK 234","Algodon","Manual",6,5.5
"5/9/2013","9/22/2013","PIONEER 30F35","Frijol","Mecanizado",7,4.5
"5/3/2013","9/14/2013","Otro","Algodon","Mecanizado",5,6.2
"5/26/2013","10/5/2013","Otro","Algodon","Manual",1,5.3
"5/1/2013","9/12/2013","FNC 3056","Algodon","Manual",6,4.5
"5/1/2013","9/11/2013","PIONEER 30F32","Maiz","Manual",1,6
"5/10/2013","9/21/2013","Otro","Maiz","Mecanizado",8,5.3
"5/20/2013","9/30/2013","Otro","Algodon","Manual",1,5.8
"5/20/2013","9/24/2013","PIONEER 30F35","Yuca","Manual",6,5.5
"5/13/2013","9/17/2013","Otro","Maiz","Mecanizado",9,4
"5/15/2013","10/3/2013","FNC 114","Maiz","Mecanizado",9,4
"9/26/2013","2/3/2014","FNC 114","Maiz","Mecanizado",9,4
"10/1/2013","2/3/2014","PIONEER 30F35 H","Maiz","Manual",10,4
"9/22/2013","2/10/2014","Otro","Maiz","Mecanizado",11,2.5
"10/1/2013","1/30/2014","Otro","Maiz","Mecanizado",12,4
"8/25/2013","1/15/2014","Otro","Maiz","Mecanizado",13,2.5
"10/6/2013","2/10/2014","PIONEER 30F35","Maiz","Mecanizado",14,5
"9/14/2013","1/10/2014","Otro","Maiz","Mecanizado",14,5.6
"10/7/2013","2/10/2014","Otro","Maiz","Mecanizado",11,3.5
"10/9/2013","3/10/2014","PIONEER 30F35","Maiz","Mecanizado",14,5
"10/17/2015","2/23/2016","DK 234","Algodon","Mecanizado",9,3.5
"5/10/2014","9/9/2014","Otro","Algodon","Manual",9,3.5
"5/20/2014","9/25/2014","PIONEER 30F35 H","Pastos","Manual",9,3.2
"5/5/2014","9/7/2014","DK 234","Algodon","Mecanizado",12,3.7
"5/13/2014","9/17/2014","PIONEER 30F35","Algodon","Manual",10,3.8
"5/17/2014","9/20/2014","Otro","Algodon","Manual",9,3
"11/2/2013","3/13/2014","DK7088","Algodon","Mecanizado",9,4
"9/29/2013","1/20/2014","DK 234","Maiz","Mecanizado",11,5
"7/19/2013","12/20/2013","Otro","Maiz","Mecanizado",9,4
"9/13/2013","1/14/2014","DK7088","Algodon","Manual",9,3.2
"5/19/2014","9/20/2014","PIONEER 30F35 H","Algodon","Mecanizado",15,6.7
"3/26/2014","7/31/2014","Otro","Maiz","Mecanizado",14,7.2
"5/6/2014","9/18/2014","Otro","Maiz","Mecanizado",14,6.8
"5/10/2014","9/12/2014","Otro","Pastos","Mecanizado",16,6.5
"5/20/2014","9/22/2014","Otro","Maiz","Mecanizado",17,6.8
"5/8/2014","9/12/2014","PIONEER 30F35","Algodon","Mecanizado",14,6
"5/5/2014","9/2/2014","DK 234","Algodon","Manual",17,3.7
"5/10/2014","9/25/2014","PAC 105","Algodon","Manual",18,4
"5/12/2014","9/15/2014","Otro","Algodon","Mecanizado",17,6.5
"5/1/2014","9/28/2014","DK7088","Algodon","Mecanizado",17,4
