"Soil_ID","Soil_Structure","Runoff","Soil_Texture","Organic_Matter_Content"
1,"GRANULAR","NINGUNO","FrL","BAJA"
2,"GRANULAR","NINGUNO","ArL","BAJA"
3,"GRANULAR","NINGUNO","AF","MEDIA"
4,"GRANULAR","NINGUNO","FAr","BAJA"
5,"GRANULAR","NINGUNO","ArA","BAJA"
6,"GRANULAR","NINGUNO","FA","MEDIA"
7,"GRANULAR","NINGUNO","L","BAJA"
8,"GRANULAR","NINGUNO","FrL","MEDIA"
9,"MASIVA","NINGUNO","FrL","MEDIA"
10,"MASIVA","NINGUNO","ArL","MEDIA"
11,"ATERRONADA","LENTO","Ar","MEDIA"
12,"MASIVA","NINGUNO","ArA","MEDIA"
13,"MASIVA","LENTO","FrL","MEDIA"
14,"ATERRONADA","NINGUNO","Ar","MEDIA"
15,"MASIVA","LENTO","FrL","BAJA"
16,"MASIVA","NINGUNO","Ar","BAJA"
17,"MASIVA","NINGUNO","Ar","MEDIA"
18,"ATERRONADA","LENTO","FAr","MEDIA"
19,"MASIVA","NINGUNO","ArL","BAJA"
20,"MASIVA","LENTO","Ar","BAJA"
21,"MASIVA","NINGUNO","FA","BAJA"
22,"MASIVA","LENTO","FA","MEDIA"
23,"ATERRONADA","NINGUNO","FAr","MEDIA"
24,"MASIVA","LENTO","Ar","MEDIA"
25,"GRANULAR","LENTO","FA","MEDIA"
26,"GRANULAR","NINGUNO","FAr","MEDIA"
27,"ATERRONADA","NINGUNO","ArL","BAJA"
28,"ATERRONADA","NINGUNO","L","MEDIA"
29,"GRANULAR","NINGUNO","F","MEDIA"
30,"ATERRONADA","NINGUNO","ArL","MEDIA"
31,"ATERRONADA","NINGUNO","FAr","BAJA"
32,"ATERRONADA","NINGUNO","FrL","BAJA"
33,"ATERRONADA","NINGUNO","FrL","MEDIA"
34,"ATERRONADA","LENTO","FAr","BAJA"
35,"ATERRONADA","NINGUNO","L","BAJA"
36,"ATERRONADA","NINGUNO","ArA","MEDIA"
37,"GRANULAR","LENTO","FAr","MEDIA"
38,"GRANULAR","LENTO","FAr","BAJA"
39,"ATERRONADA","NINGUNO","F","MEDIA"
40,"GRANULAR","NINGUNO","FA","BAJA"
41,"GRANULAR","NINGUNO","Ar","MEDIA"
42,"ATERRONADA","NINGUNO","F","BAJA"
43,"GRANULAR","NINGUNO","F","BAJA"
44,"ATERRONADA","NINGUNO","FA","MEDIA"
45,"GRANULAR","LENTO","ArA","BAJA"
46,"ATERRONADA","LENTO","FrL","MEDIA"
47,"ATERRONADA","LENTO","FA","MEDIA"
48,"ATERRONADA","LENTO","ArA","MEDIA"
49,"GRANULAR","NINGUNO","ArA","MEDIA"
50,"GRANULAR","NINGUNO","ArL","MEDIA"
51,"ATERRONADA","NINGUNO","FA","BAJA"
52,"GRANULAR","NINGUNO","L","MEDIA"
53,"GRANULAR","NINGUNO","Ar","BAJA"
54,"GRANULAR","NINGUNO","A","MEDIA"
55,"ATERRONADA","NINGUNO","Ar","BAJA"
56,"ATERRONADA","NINGUNO","A","MEDIA"
57,"ATERRONADA","LENTO","FA","BAJA"
58,"GRANULAR","LENTO","FA","BAJA"
59,"GRANULAR","LENTO","F","MEDIA"
60,"MASIVA","NINGUNO","FrL","BAJA"
61,"ATERRONADA","MODERADO","FrL","MEDIA"
62,"MASIVA","NINGUNO","F","MEDIA"
63,"ATERRONADA","LENTO","F","MEDIA"
64,"ATERRONADA","LENTO","FrL","BAJA"
65,"GRANULAR","LENTO","ArA","MEDIA"
66,"GRANULAR","LENTO","AF","BAJA"
67,"GRANULAR","LENTO","Ar","MEDIA"
68,"MASIVA","LENTO","FAr","BAJA"
69,"MASIVA","NINGUNO","FAr","MEDIA"
70,"ATERRONADA","LENTO","Ar","BAJA"
71,"SUELTA O POLVOSA","LENTO","F","MEDIA"
72,"MASIVA","LENTO","ArL","MEDIA"
